param_validation_split,param_optimizer,param_momentum,param_learning_rate,param_l2,param_l1,param_epochs,param_dropout,param_decay,param_batch_size,param_No_of_batch_norm,param_No_of_Units_in_dense_layers,param_No_of_Dense_Layers,param_No_of_CONV_and_Maxpool_layers,param_Conv2d_filters,mean_test_score
0.1,Adam,0.2,0.01,0.001,0.01,30,0.8,0.01,512,False,256,2,3,256,0.09724001834789912
0.1,Adam,0.5,0.001,0.0001,0.0001,50,0,0.01,128,True,512,5,3,128,0.6092003385225931
0.2,sgd,0.9,1,0.0001,0.01,20,0.5,0.01,512,False,512,5,2,32,0.100139985481898
0.1,Adam,0.2,0.001,0.001,0.001,30,0.8,1e-06,256,True,128,4,2,256,0.09724001834789912
0.2,Adam,0.2,0.01,0.001,0.0001,40,0,0.01,256,False,128,3,2,128,0.5607794324556986
0.1,Adam,0.9,0.01,0.001,0.01,30,0.8,1e-06,256,True,512,4,2,128,0.0997600331902504
0.1,Adam,0.2,0.1,0.0001,0.01,50,0,0.0001,512,False,128,3,3,64,0.09968000402053197
0.2,sgd,0.9,1,0.001,0.001,50,0.5,0.0001,128,False,512,2,2,64,0.10118000209331512
0.2,Adam,0.9,0.001,0.0001,0.0001,20,0.5,1e-06,256,False,512,2,2,256,0.7391002774238586
0.2,Adam,0.5,0.001,0.01,0.001,30,0.5,0.01,256,True,128,2,2,64,0.462859849135081
