"Subject.ID","Abiotrophia","Acetivibrio","Acholeplasma","Achromobacter","Acidaminococcus","Acidobacteria_Gp1_Gp1","Acidovorax","Acinetobacter","Actinobacillus","Actinomyces","Actinomycetales","Aerococcus","Aeromonas","Aggregatibacter","Akkermansia","Alicyclobacillus","Aliivibrio","Alistipes","Alkaliphilus","Aminobacterium","Aminomonas","Ammonifex","Anaerococcus","Anaerofustis","Anaeromyxobacter","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anoxybacillus","Atopobium","Azoarcus","Azospirillum","Azotobacter","Bacillales","Bacillus","Bacteria","Bacteroides","Bartonella","Beijerinckia","Bifidobacterium","Blautia","Bordetella","Brachyspira","Bradyrhizobium","Brevibacillus","Brevibacterium","Brucella","Bulleidia","Burkholderia","Caldanaerobacter","Caldicellulosiruptor","Campylobacter","Capnocytophaga","Carboxydothermus","Cardiobacterium","Catenibacterium","Catonella","Cellvibrio","Chloroflexus","Chromobacterium","Chryseobacterium","Citrobacter","Clostridiales","Clostridium","Collinsella","Comamonas","Coprobacillus","Coprococcus","Coraliomargarita","Corynebacterium","Croceibacter","Cronobacter","Cryptobacterium","Cupriavidus","Cyanobacteria","Cyanobacteria_Family_XI_GpXI","Cytophaga","Dehalococcoides","Delftia","Desulfitobacterium","Desulfotalea","Desulfotomaculum","Desulfovibrio","Dialister","Diaphorobacter","Dickeya","Dorea","Dyadobacter","Edwardsiella","Eggerthella","Enhydrobacter","Enterobacter","Enterobacteriaceae","Enterococcus","Entomoplasmataceae","Erwinia","Erysipelothrix","Erythrobacter","Escherichia/Shigella","Eubacterium","Exiguobacterium","Faecalibacterium","Family_IX_GpIX","Family_XII_GpXII","Filifactor","Finegoldia","Fusobacterium","Gardnerella","Gemella","Geobacillus","Geobacter","Gluconacetobacter","Gordonia","Gordonibacter","Granulibacter","Granulicatella","Haemophilus","Halothermothrix","Helicobacter","Heliobacterium","Herminiimonas","Histophilus","Holdemania","Idiomarina","Kingella","Klebsiella","Kytococcus","Lachnospiraceae","Lactobacillus","Lactococcus","Laribacter","Lawsonia","Leptothrix","Leuconostoc","Listeria","Macrococcus","Magnetospirillum","Marvinbryantia","Megasphaera","Mesoplasma","Mesorhizobium","Methanobrevibacter","Methanocella","Methanosphaera","Methylibium","Methylobacillus","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Moorella","Mycoplasma","Neisseria","Neisseriaceae","Nitrosococcus","Nitrosomonas","Nitrosospira","Nocardia","Oceanobacillus","Opitutus","Oribacterium","Oxalobacter","Paenibacillus","Pantoea","Parabacteroides","Paracoccus","Parascardovia","Parvibaculum","Parvimonas","Pasteurella","Pasteurellaceae","Pectobacterium","Pediococcus","Pedobacter","Pelagibacter","Pelobacter","Pelotomaculum","Peptoniphilus","Peptostreptococcaceae","Peptostreptococcus","Photobacterium","Photorhabdus","Polaromonas","Polynucleobacter","Porphyromonadaceae","Porphyromonas","Prevotella","Propionibacterium","Prosthecochloris","Proteus","Providencia","Pseudomonas","Pyramidobacter","Ralstonia","Rhizobium","Rhodococcus","Rhodoferax","Rhodospirillum","Rickettsia","Roseburia","Rothia","Ruminococcaceae","Ruminococcus","Saccharopolyspora","Salmonella","Scardovia","Selenomonas","Serratia","Shewanella","Shuttleworthia","Simonsiella","Slackia","Sodalis","Sphingobacterium","Sphingobium","Sporacetigenium","Stackebrandtia","Staphylococcus","Stenotrophomonas","Streptobacillus","Streptococcus","Streptomyces","Subdoligranulum","Symbiobacterium","Syntrophomonas","Syntrophothermus","Syntrophus","Thauera","Thermincola","Thermoanaerobacter","Thermus","Thioalkalivibrio","Thiobacillus","Thiomonas","Tolumonas","Treponema","Turicibacter","Variovorax","Veillonella","Verminephrobacter","Verrucomicrobia","Vibrio","Weissella","Xanthomonas","Xenorhabdus","Xylanimonas","Yersinia","Zunongwangia","Unknown"
"AM.F10.T1",0,2.636e-05,9.363e-05,0,0.00032022,0,2.63e-06,0,0,6.428e-05,5.59e-06,0,0,0,0.00110539,0,0,0.00223037,2.86e-06,0,0,0,1.074e-05,5.551e-05,0,8.72e-06,0.01282593,0.00238015,0,0,0,0,0,0,1.78e-05,0,0.05774625,0,0,0.05532359,0.0583278,0,0,0,0,0,0,0,0,0,0,8.65e-06,0,0,0,5.802e-05,6.277e-05,0,0,0,0,0,0.00147056,2.557e-05,5.583e-05,0,0.00064307,0.00829207,0,5.83e-05,0,0,0,0,0,0,0,9.59e-06,0,4.92e-05,0,1.95e-06,0,0.00562585,3.17e-06,0,0.02177863,0,0,0.001606,0,0,0,7.221e-05,6.163e-05,0,3.259e-05,0,0.00014152,0.0073662,4.64e-06,0.08192745,0,0,1.475e-05,1.511e-05,0,0,7.45e-06,0,0,0,0,0.0002968,0,7.24e-06,0,0,0.00656255,4.58e-06,0,0,0.00081267,0,0,0,0,0.05016927,0.00036833,0.00016915,0,2.9e-05,0,7.04e-06,0,0,0,0.00020289,0.00092646,3.553e-05,0,0.01963307,0,0,0,0,0,0,2.73e-06,8.62e-06,0,0,3.76e-06,0,0,0,0,0,0,0,4.732e-05,3.369e-05,3.92e-06,0,0.00709511,0,0,0,1.654e-05,0,0,0,0,0,0,0,4.66e-06,0,0.00078861,9.077e-05,0,0,0,0,0,6.28e-06,0.00053382,2.242e-05,0,0,0,0,8.25e-06,0,0,0,0,0,0,0.05209823,0,0.01167649,0.04024466,0,0,0,1.101e-05,0,0,0,0,0,0,0,0,0.0011575,0,2.262e-05,0,0,0.00093296,0,0.00395948,7.9e-06,0,0,0,0,0,6.11e-06,0,4.07e-06,0,0,0,1.929e-05,6.679e-05,0,6.51e-06,0,0,0,0,0,0,0,0,0,0.48195467
"AM.F10.T2",6.518e-05,1.585e-05,0,0,0.00076266,0,0,6.6e-07,0,0.0001163,0,0,0,0,0.00261134,0,0,0.00591334,0,0,0,0,1.597e-05,0.00014745,0,4.85e-06,0.00247337,0.00110223,0,2.042e-05,0,0,0,0,0,0,0.05419578,0,0,0.20264694,0.1018554,3.56e-06,0,0,0,0,0,0,9e-07,0,0,4.77e-06,0,3.26e-06,0,2.053e-05,5.742e-05,0,0,0,0,3.06e-06,0.00546261,9.37e-06,0.03577404,0,0.00024469,0.01063818,0,0.00036737,0,0,0,0,0,0,0,0,0,0,0,0,6.58e-06,6.611e-05,0,0,0.01137338,0,0,0.00132109,0,0,9.13e-06,0.00361745,0,0,0,0,0.00123483,0.00986877,0,0.07171254,0,0,4.1e-06,4.48e-05,0,0,0,0,0,0,0,0.00048639,0,1.227e-05,0,0,0.00016346,0,0,0,0.00110655,0,0,0,0,0.02372668,0.00016338,0.00033127,0,4.3e-05,0,8.36e-06,0,3.73e-06,0,0.00021269,0.00044477,0,0,0.01254332,0,0,0,0,0,0,0,3.19e-06,0,0,0,0,0,1.96e-06,0,0,0,0,3.503e-05,1.561e-05,0,0,0.00473679,0,0,0,4.6e-06,0,0,0,0,0,0,2.14e-06,2.59e-06,4.61e-06,0.00055551,7.52e-06,0,0,0,0,0,3.49e-06,0.00066867,3.13e-06,0,0,0,0,0,0,0,0,0,0,0,0.01349262,0,0.01143619,0.00909014,0,3.27e-06,0,3.06e-06,0,0,3.61e-06,0,2.48e-05,0,0,0,0.00037033,0,7.85e-06,0,4.71e-06,0.00194011,0,0.00591211,2.2e-06,0,0,0,0,0,0,4.24e-06,0,0,0,0,2.229e-05,0,0,7.28e-06,0,0,1.85e-06,0,1.53e-06,0,0,1.74e-06,0,0.38858308
"DA.AD.1",2.752e-05,8.708e-05,0,0,0.00030998,0,0,7.814e-05,7.525e-05,1.156e-05,0,0,0,0,0.00021111,0,0,0.03436218,0,0,0,0,0,7.385e-05,0,2.707e-05,0.0021567,0.00056448,0,1.822e-05,0,0,0,0,6.69e-06,0,0.05414964,3.268e-05,0,0.00054682,0.00806225,2.744e-05,0,0,0,0,0,5.943e-05,1.708e-05,0,0,1.247e-05,0,0,0,0.00140008,2.762e-05,0,0,0,0,0,0.00074632,3.532e-05,0.00143849,0,0.00040383,0.00547985,0,8.39e-06,0,0,0,0,0,0,0,0,0,1.535e-05,0,7.79e-06,0.0031502,0,5.49e-06,0,0.00299562,0,0,6.194e-05,0,0,0,9.719e-05,0,0,0,0,4.405e-05,0.00478543,0,0.01877957,0,0,0,0.00012515,0,0,0,0,0,0,0,0.0001325,0,0,0,0,0,0,0,0,0.0002008,0,0,0,0,0.0537487,0.00026047,0,0,0,1.15e-06,0,0,0,0,6.903e-05,0.00015476,0,0,0,0,0,0,0,0,0,3.64e-06,0,0,0,0,0,0,0,0,0,0,0,3.502e-05,1.158e-05,5.52e-06,0,0.00544593,0,0,0,1.65e-05,0,0,0,0,0,0,0,9.29e-06,0,0.00015311,3.15e-05,0,0,0,0,2.524e-05,0.00057755,0.24449648,0,0,0,0,0,0,0,0,1.756e-05,0,6.46e-06,0,0.00818179,0,0.00281107,0.00649973,0,0,0,0,0,0,0,0,4.007e-05,0,0,0,8.751e-05,4.11e-06,0,0,0,9.541e-05,0,0.00263982,0,0,0,8.84e-06,0,0,1.167e-05,0,0,0,0,0,3.914e-05,9.52e-06,0,3.916e-05,0,0,0,0,0,0,0,0,0,0.53360402
"DA.AD.2",0,0.00023424,4.957e-05,0,0.00025516,0,0,2.487e-05,0,9.909e-05,0,0,0,0,0.06584182,2.965e-05,0,0.03772014,3.726e-05,0,0,0,5.202e-05,6.53e-05,0,2.462e-05,0.00388322,0.00072407,0,8.716e-05,0,0,0,0,2.281e-05,1.328e-05,0.1470976,0,0,0.01654659,0.00560877,0,0,0,2.37e-06,0,0,0,0,0,0,0,0,1.242e-05,0,0.00011728,0.00010434,0,0,0,0,0,0.00129529,5.041e-05,0.00501031,0,0.00020926,0.00485286,0,1.656e-05,0,0,9.22e-06,0,0,5.11e-06,0,2.03e-05,0,5.21e-06,0,1.483e-05,0.00400686,4.721e-05,0,0,0.00145824,4.28e-06,0,0.00022179,0,0,1.038e-05,4.103e-05,0.00029549,0,5.176e-05,0,0.00212751,0.00727166,0,0.00849171,0,0,0,0,8.52e-06,0,0,2.584e-05,0,0,0,0.00026877,0,0,0,0,0,9.7e-06,0,0,0.00053384,0,0,2.19e-05,0,0.01329292,6.486e-05,0,0,3.07e-05,0,0,0,0,0,7.434e-05,0.00033418,3.762e-05,0,0.00768753,0,0,0,0,4.91e-06,0,6.368e-05,1.217e-05,0,0.00365058,0,0,0,0,0,0,2.466e-05,0,2.23e-05,0.00026468,0,0,0.00773108,0,0,0,1.751e-05,0,0,0,0,0,0,0,9.86e-06,0.00010536,0.00035532,8.795e-05,0,0,0,0,0,0.0001851,0.00193614,3.202e-05,0,0,0,0,0,0,0,0,0,0,0,0.00249954,1.196e-05,0.00750259,0.00176278,0,2.07e-06,0,0,0,0,0,0,5.693e-05,0,0,0,6.023e-05,0,0,0,0,0.00020572,0,0.00199408,0,0,0,0,0,0,0,0,0,0,0,0,1.78e-05,8.587e-05,0,2.744e-05,0,0,0,0,0,0,0,0,0,0.634708
"DA.AD.3",0,9.686e-05,0,0,0.00087582,0,0,0,0,0.00025981,1.13e-05,0,0,0,0.0290503,0,0,0.05041118,5.78e-06,0,0,0,0,0,0,0,4.649e-05,0.00050842,0,0,0,0,0,0,0,0,0.02028051,0,0,0.02735906,0.00191022,1.212e-05,0,0,0,0,0,0,6.64e-06,0,0,0,0,0,0,0.00021319,9.548e-05,1.24e-06,0,5.99e-06,0,0,0.00074028,7.25e-06,0.00631471,0,1.135e-05,0.00214813,0,0,9.64e-06,0,0,0,0,0,1.927e-05,0,0,4.354e-05,0,7.89e-06,0.00021633,0.00025531,0,0,0.0009916,0,0,0.00026131,0,1.696e-05,0,0.00012505,2.35e-05,0,0,0,0.00250316,0.00267793,0,0.02830344,0,0,0,0,0,0,0,0,1.821e-05,0,0,0.00019335,0,0,0,0,0,0,0,1.418e-05,0.00177452,1.003e-05,0,0,0,0.00613964,0.00010554,0,8.98e-06,0,0,0,0,0,0,0.00019039,0.00021307,0,0,0.00013041,0,0,0,0,0,0,0.00908239,4.644e-05,0,0,0,0,0,0,0,0,0,0,6.022e-05,9.112e-05,5.59e-06,0,0.00406879,0,0,0,0,0,0,1.87e-06,0,0,0,0,0,0,0.00036339,0,0,0,0,0,0,5.987e-05,0.00161688,1.136e-05,0,0,0,0,2.223e-05,0,0,2.215e-05,0,0,0,0.00222968,0,0.00717724,0.00271001,3.47e-06,2.91e-06,0,1.113e-05,0,0,0,0,6.915e-05,0,2.72e-06,0,0,0,0,0,5.138e-05,0,3.05e-06,0.00777291,0,0,0,0,0,2.292e-05,0,0,0,0,0,0,1.132e-05,2.892e-05,0,0,0,0,1.568e-05,0,0,0,0,0,0,0.77980981
"DA.AD.4",1.395e-05,0.00012719,6.64e-05,0,0.00087103,0,0,1.584e-05,0,3.554e-05,0,0,0,1.849e-05,0,0,0,0.00224233,1.157e-05,0,0,0,0,0,0,4.312e-05,0.00083214,0.00057018,2.003e-05,2.462e-05,0,2.583e-05,0,0,1.417e-05,0,0.0161095,3.945e-05,6.84e-06,0.00471241,0.00408879,1.294e-05,0,0,0,0,3.322e-05,4.016e-05,1.697e-05,0,0,0,0,0,0,0.00522006,6.008e-05,0,0,0,0,0,0.00064603,2.209e-05,0.00354644,0,5.057e-05,0.01100201,7.6e-06,1.134e-05,4.83e-06,0,0,0,0,0,0,8.728e-05,0,0,0,7.9e-06,0.00801665,0.00102241,6.96e-06,0,0.0042,0,0,7.194e-05,0,0,0,0.00010678,0,0,1.648e-05,0,6.24e-06,0.0062588,0,0.03215285,0,7.36e-06,0,0,0,0,0,0,0,0,0,0.00010534,1.579e-05,0,5.291e-05,0,0,0,0,0,0.00066067,0,0,0,0,0.02409891,0.00073073,0,0,3.911e-05,9.68e-06,0,0,1.356e-05,2.678e-05,9.922e-05,0.00031377,0,0,0.00021254,0,0,0,0,0,0,0.00369459,1.55e-05,0,0,4.796e-05,0,0,0,0,4.73e-06,7.85e-06,0,1.408e-05,0.00013443,3.97e-06,0,0.00330585,0,0,0,1.673e-05,0,0,0,0,0,0,0,0,0,0.00038237,2.509e-05,0,0,0,0,0,0.00018152,0.0604656,0,0,0,0,0,0,1.023e-05,0,3.589e-05,0,2.62e-05,0,0.01616933,3.792e-05,0.00544785,0.01372323,0,5.99e-06,0,0,0,0,3.285e-05,0,1.351e-05,0,0,0,2.238e-05,0,0,0,0,0.00022021,0,0.00267676,0,0,0,0,0,1.147e-05,0,0,0,0,0,1.642e-05,5.537e-05,8.687e-05,0,9.784e-05,0,0,0,0,0,0,0,6.01e-06,0,0.76409898
"ES.AD.1",0,7.84e-06,0,0,0.01600193,0,0,1.156e-05,0,0.00029618,0,0,0,0,0,0,0,0.00430455,0,0,0,0,2.971e-05,0,0,0,0.00081975,0.00100182,0,4.581e-05,0,0,0,0,0,0,0.54668312,0,0,0.02639258,0.0122716,2.862e-05,0,0,0,0,0,1.2e-05,2.583e-05,0,0,1.991e-05,0,0,0,0,5.223e-05,0,0,0,0,0,0.00149746,5.78e-06,0.01480358,0,0.00112131,0.00449593,0,1.298e-05,0,0,0,0,0,0,0,4.637e-05,0,0,0,0,8.171e-05,0,0,0,0.00322889,0,0,0.00196994,0,0,0,0.00242827,0,0,0,0,0.00091207,0.00235743,0,0.03368022,0,0,0,5.729e-05,0,2.723e-05,0,0,0,0,0,0.0003746,0,1.75e-05,8.9e-06,0,0,0,0,0,0.00058696,0,0,0,0,0.02858098,9.61e-06,2.024e-05,0,2.338e-05,0,0,0,0,0,2.247e-05,0.00046386,0,0,0,0,0,2.11e-06,0,0,0,0,2.965e-05,0,0,9.1e-06,0,0,8.54e-06,0,0,0,0,1.259e-05,2.082e-05,0,0,0.01528305,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00036307,0,0,0,0,0,0,0.00066745,0.00832809,2.704e-05,0,0,0,0,0,2.28e-06,0,1.569e-05,0,0,0,0.00219302,0,0.01126224,0.00054458,0,0,0,0,0,3.66e-06,7.853e-05,0,0,0,0,0,0.00062191,0,0,0,0,0.00364222,0,0.00034208,0,0,0,0,0,0,0,0,0,0,0,0,2.397e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.25166833
"ES.AD.2",0,4.392e-05,4.838e-05,0,0.00098243,0,0,8.37e-06,0,3.635e-05,0,0,0,1.259e-05,0.00015304,0,3.21e-06,0.00801599,0,0,0,0,0,0,0,1.202e-05,0.00066636,0.00029164,0,1.015e-05,0,0,0,0,5.53e-06,0,0.09286852,0,0,0.01060375,0.0035335,1.242e-05,9.71e-06,0,0,0,0,0,4.96e-06,0,0,0,0,0,0,0.00156626,5.72e-05,0,0,1.23e-06,0,0,0.00035696,0,0.00067503,0,6.256e-05,0.01172303,0,7.96e-06,0,0,0,4.74e-06,0,0,0,0,0,0,0,2.69e-06,0.0027444,1.536e-05,7.67e-06,0,0.00280669,0,0,4.009e-05,0,0,0,4.249e-05,0,0,0,9.54e-06,4.538e-05,0.00464208,0,0.03168661,0,0,0,0,0,0,1.54e-05,0,0,0,0,4.036e-05,3.226e-05,1.533e-05,7.842e-05,0,0,1.894e-05,0,0,0.00023079,0,0,0,0,0.01877146,1.352e-05,0,0,1.998e-05,1.98e-06,0,0,0,0,0.00015685,0.00023816,0,0,0.00021634,0,3.296e-05,0,0,0,0,0.01625714,5.94e-06,0,0,0,0,0,0,0,0,0,0,2.176e-05,3.772e-05,0,0,0.00401453,0,0,0,0,0,0,0,0,0,0,0,9.63e-06,0,0.00031783,4.893e-05,0,0,0,0,0,6.6e-05,0.33699481,0,0,0,0,0,0,5.86e-06,0,0,0,6.69e-06,0,0.00979963,0,0.00374748,0.00355777,0,6.07e-06,0,0,0,0,4.027e-05,0,9.2e-06,0,0,0,0.00029721,0,0,0,0,0.00116403,0,0.0026944,0,0,0,0,0,0,1.209e-05,0,0,0,0,0,3.86e-06,9.86e-06,0,4.087e-05,0,0,0,0,0,0,0,0,0,0.42712689
"ES.AD.3",0,6.315e-05,0,0,0.01038153,0,0,8.58e-06,0,9.857e-05,0,0,0,0,5.58e-06,0,0,0.00802594,0,0,0,0,0,0,0,4.6e-06,0.00165767,0.00111811,0,0,6.79e-06,0,0,0,3.53e-06,0,0.17824694,0,0,0.00359654,0.0114167,1.792e-05,0,0,0,0,8.98e-06,0,8.04e-06,0,0,0,0,0,0,1.855e-05,4.13e-05,0,0,8.34e-06,1.065e-05,0,0.00070893,0,0.01624345,0,0.00040748,0.00397111,0,1.81e-05,0,0,1.838e-05,0,0,0,6.71e-06,0,0,0,0,0,9.208e-05,3.92e-05,0,0,0.00635877,0,0,0.00027555,0,0,0,0.00060557,0,0,0,0,2.784e-05,0.00212953,0,0.05560608,0,0,0,0,0,0,0,0,0,0,0,0.00084318,0,7.63e-06,0,0,0,0,0,0,0.00030236,0,0,0,0,0.02754079,4.13e-05,0,0,8.498e-05,6.06e-06,0,0,0,0,0.00025814,0.00053819,0,0,0,0,0,0,0,0,0,7.018e-05,4.257e-05,0,0,0,0,0,0,0,0,0,0,1.468e-05,4.225e-05,0,0,0.02408696,0,0,7.59e-06,0,0,0,0,0,0,0,0,0,0,0.00023521,5.99e-06,0,0,0,0,0,0.00020859,0.23320513,0,0,0,0,0,0,0,0,0,0,2.504e-05,0,0.00398082,0,0.00565179,0.00635559,0,0,0,6.855e-05,0,0,6.85e-06,0,9.39e-06,0,0,0,2.084e-05,0,0,0,0,0.00159819,0,0.00187032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034428,0,0,0,0,0,0,0,0,0,0.39126977
"ES.AD.4",0,9.987e-05,0,0,0.00020275,0,0,8.53e-06,1.274e-05,0.00010991,0,0,0,0,0.04946873,0,0,0.091233,9.46e-06,0,0,0,1.563e-05,0,0,1.321e-05,0.00180694,0.00211454,1.038e-05,3.731e-05,0,0,0,8.73e-06,0,0,0.12396549,0,0,0.01517927,0.00805788,1.157e-05,0,0,0,0,0,0,3.65e-06,0,0,0,0,0,0,0.0001051,0.00011892,0,0,0,0,5.77e-06,0.00166102,2.272e-05,0.00013903,0,0.00198459,0.01054429,0,1.028e-05,0,0,0,3.92e-06,0,0,0,6.032e-05,0,1.098e-05,0,0,8.126e-05,0.00061569,0,0,0.00339743,0,0,0.00120415,1.093e-05,2.408e-05,4.11e-06,0.00090945,0,0,0,0,9.076e-05,0.00424602,0,0.03696529,0,0,1.547e-05,1.526e-05,2.181e-05,1.523e-05,0,0,0,0,0,0.00077813,0,1.518e-05,0,0,1.809e-05,1.602e-05,0,0,0.00065185,0,0,0,0,0.0346941,0.00019559,0.00018156,0,6.082e-05,0,0,0,0,0,0.00023604,0.00031529,0,4.2e-06,0,0,0,1.705e-05,0,0,0,5.73e-06,2.518e-05,0,0,0,0,0,0,0,0,0,0,1.472e-05,2.159e-05,2.07e-06,0,0.01301853,0,0,7.55e-06,1.734e-05,0,0,0,0,0,0,0,0,0,0.00077637,3.793e-05,0,0,0,0,0,0.00032033,0.00394533,0.00020171,0,0,0,0,0,1.98e-06,0,0,0,0,0,0.00925633,0,0.01357326,0.00961088,0,0,0,0,0,0,4.54e-06,0,1.245e-05,0,0,0,0.00020714,0,0,0,0,0.00258593,0,0.00644963,0,0,0,0,0,0,0,0,0,0,0,0,5.409e-05,5.003e-05,0,3.185e-05,0,0,0,0,0,0,0,0,0,0.54793011
